Question,Answer
"In the context of A geotechnical investigation at Peacham Crescent for slope stability, the _ conducted a geotechnical investigation at 21 peacham crescent to assess the existing soil conditions.",Soil Engineers Ltd.
"In the context of A geotechnical investigation at Peacham Crescent for slope stability, the toronto and region conservation authority (trca) retained _ to provide engineering services for assessing slope stability and erosion risks.",Cole Engineering Group Ltd.
"In the context of A geotechnical investigation at Peacham Crescent for slope stability, the study area is located within the _ watershed in the city of toronto.",Humber River
"In the context of A geotechnical investigation at Peacham Crescent for slope stability, the july 8, _ storm event contributed significantly to the erosion and slope failures studied in this report.",2013
"In the context of A geotechnical investigation at Peacham Crescent for slope stability, the slope failure at 21 peacham crescent has led to trees either falling or _ away from the slope.",Leaning
"In the context of A geotechnical investigation at Peacham Crescent for slope stability, the geotechnical investigation at 21 peacham crescent included drilling _ borehole(s) at the top of the bank on april 28, 2014.",One (1)
"In the context of A geotechnical investigation at Peacham Crescent for slope stability, the 'do nothing' alternative for slope remediation is not desired because the _ crosses through the footprint of the existing building.",Long Term Stable Slope Crest (LTSSC)
"In the context of A geotechnical investigation at Peacham Crescent for slope stability, the mechanically stabilized earth (mse) wall alternative involves wrapping layers of _ with geogrid to stabilize the slope.",Stone
"In the context of A geotechnical investigation at Peacham Crescent for slope stability, the estimated cost for constructing a gravity retaining wall as a remediation method at 21-25 peacham crescent is _.","$435,000"
"In the context of A geotechnical investigation at Peacham Crescent for slope stability, according to the report, the _ alternative provides a natural aesthetic appeal, requires minimal disturbance, and is relatively low-cost.",Geoweb System
"In the context of A geomorphic assessment for erosion risks along watercourses, the _ conducted a geomorphic assessment for the bercy wycliffe park sanitary infrastructure protection project.",Greck and Associates Limited
"In the context of A geomorphic assessment for erosion risks along watercourses, the toronto and region conservation authority (trca) collaborated with the _ to identify at-risk sanitary infrastructure along german mills creek.",Regional Municipality of York
"In the context of A geomorphic assessment for erosion risks along watercourses, the study area is located on _ between john street and steeles avenue east.",German Mills Creek
"In the context of A geomorphic assessment for erosion risks along watercourses, the sanitary sewer in the project area is a _ diameter class 2400 asbestos-cement pipe.",750mm
"In the context of A geomorphic assessment for erosion risks along watercourses, the infrastructure hazard monitoring program identified _ intersection sites and eleven proximity sites as being at risk.",Seven
"In the context of A geomorphic assessment for erosion risks along watercourses, a _ was used to assess channel stability and record evidence of aggradation, degradation, and widening.",Rapid Geomorphic Assessment (RGA)
"In the context of A geomorphic assessment for erosion risks along watercourses, the study identified that one of the major causes of infrastructure risk was continued _ along german mills creek.",Erosion
"In the context of A geomorphic assessment for erosion risks along watercourses, the _ method was used to measure grain size distribution in alluvial materials along the creek.",Wolman Pebble Count
"In the context of A geomorphic assessment for erosion risks along watercourses, the pedestrian bridge providing access to adventure valley day camp was relocated between _ and _.",1983 and 1989
"In the context of A geomorphic assessment for erosion risks along watercourses, reach 1 of german mills creek exhibits _ morphology, characterized by deep pools and riffles.",Pool-riffle
"In the context of Workplan for sanitary infrastructure protection at Bercy Wycliffe, the _ is responsible for securing funding and reviewing project budgets for the bercy wycliffe park infrastructure protection project.",Moranne McDonnell
"In the context of Workplan for sanitary infrastructure protection at Bercy Wycliffe, the emergency remedial action at site _ was identified as the highest priority in the region and scheduled for july 2017.",P-531
"In the context of Workplan for sanitary infrastructure protection at Bercy Wycliffe, the trca’s _ identified six high-priority sanitary infrastructure risk sites between john street and steeles avenue in markham.",Infrastructure Hazard Monitoring Program
"In the context of Workplan for sanitary infrastructure protection at Bercy Wycliffe, the remedial bank stabilization works at site 1 include a _ round stone revetment.",110 m
"In the context of Workplan for sanitary infrastructure protection at Bercy Wycliffe, the implementation of sites 2 and 3 works is anticipated for _.",Summer 2020
"In the context of Workplan for sanitary infrastructure protection at Bercy Wycliffe, the clean water and wastewater fund (cwwf) contributed _ for implementation at site 1 and studies at sites 2 – 4.","$450,000.00"
"In the context of Workplan for sanitary infrastructure protection at Bercy Wycliffe, the project area covers a _ linear meter stretch of german mills creek running north-south between john street and steeles avenue east.",1400
