Question,Answer
The Toronto and Region Conservation Authority (TRCA) is undertaking the Peacham Crescent _ and slope stabilization project to mitigate erosion risks.,Erosion control
"The Peacham Crescent Slope Stabilization Project follows the Class Environmental Assessment (EA) for Remedial Flood and Erosion Control Projects, amended in _.",2013
"The primary objectives of the project include risk mitigation, naturalization, and _ with existing infrastructure.",Compatibility
Concerns regarding slope instability behind Peacham Crescent were first identified after the _ severe storm event.,"July 8, 2013"
The _ was completed in 2015 by Cole Engineering Group Ltd. to determine the extent of slope instability.,Slope Stability and Erosion Risk Assessment (SS&ERA)
"The Class EA for the Peacham Crescent project was officially initiated on _, with the publication of a Notice of Intent.","November 22, 2018"
The preferred slope stabilization solution determined through the EA process was the construction of a _ structure along the upper slope.,Mechanically Stabilized Earth (MSE)
TRCA’s _ Program supports proactive prevention and management of erosion hazards on public and private property.,Erosion Risk Management (ERMP)
"The project site includes three residential properties located at _, 23, and 25 Peacham Crescent in Toronto.",21
"Following the Class EA review, TRCA intends to finalize the detailed design and obtain necessary _ before implementation.",Approvals
